,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X
A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0.185185185,0.222222222,0,0.5,0,0.222222222,0.03125,0.45,0,0,0.037037037,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0
N,0.45,0.428571429,0,0,0,0.428571429,0.428571429,0,0.166666667,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0.941176471,0,0,0,0,0,0,0.941176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0.6,0.571428571,0,0,0,0.571428571,0.375,0.16,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0.526315789,0.034482759,0,0.066666667,0.75,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
R,0.941176471,1,0,0.033333333,0,1,0.36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S,0.137931034,0.133333333,0.133333333,0,0.391304348,0.133333333,0,0,0.391304348,0.133333333,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,0.04,0.095238095,0,0,0.04,0.1,0,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
U,0.125,0.12,0.4,0,0,0.12,0,0,0,0.4,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0
V,0.47826087,0.458333333,0,0.103448276,0.064516129,0.458333333,0.206896552,0.107142857,0.064516129,0,0.034482759,0.458333333,0,0,0,0,0,0,0,0,0,0,0,0
W,0.409090909,0.391304348,0.103448276,0,0,0.391304348,0.454545455,0,0.071428571,0.103448276,0,0.391304348,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0.777777778,0,0,0,0.032258065,0,0,0.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
