"","V1","V2"
"1",318.90243902439,214.285714285714
"2",272.560975609756,5.71428571428572
"3",54.7560975609756,6.66666666666669
"4",367.09756097561,380
"5",216.951219512195,53.3333333333333
"6",272.560975609756,276.190476190476
"7",70.5121951219512,297.142857142857
"8",193.780487804878,322.857142857143
"9",353.19512195122,80
"10",153.926829268293,146.666666666667
"11",183.585365853659,242.857142857143
"12",239.19512195122,117.142857142857
"13",41.780487804878,369.52380952381
"14",145.585365853659,303.809523809524
"15",417.146341463415,148.571428571429
"16",162.268292682927,0
"17",410.658536585366,210.47619047619
"18",237.341463414634,378.095238095238
"19",105.731707317073,241.904761904762
"20",102.024390243902,105.714285714286
"21",296.658536585366,357.142857142857
"22",39,134.285714285714
"23",132.609756097561,64.7619047619048
"24",419,291.428571428571
